,DCE,ADC,T1w,T2w,T1w Z-norm,T2W Z-norm
10Percentile,0.9999999999999996,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998
90Percentile,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
Coarseness,0.9995138142504709,0.9204349890606384,0.802633681800653,0.8090277051931771,0.7851417561253825,0.8346048975583393
Correlation,0.9999941157364837,0.9955805921066915,0.999980793523992,0.9999633167222032,,0.9379666081103448
Elongation,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0
Energy,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
Flatness,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998
GrayLevelNonUniformity,0.7716737776224672,0.7984009190007837,0.8241004523016062,0.7796542692452143,,
Idmn,0.8633701908026664,,0.9725761168296113,0.9707451983833263,,0.9904954598385611
Idn,0.9516850196396434,,0.9903723294022758,0.9905819350526842,0.890261425627374,0.9597891065485397
Imc1,0.9094490880159889,,0.9194571879233719,0.9491852712582969,0.8761400411808556,0.8405140162576078
Imc2,0.9814126290527099,0.8665638493610095,,,,
InterquartileRange,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002
Kurtosis,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0
LeastAxisLength,1.0,1.0,1.0,0.9999999999999997,1.0,0.9999999999999997
MCC,0.8464280953198883,0.8859083619105865,,,,
MajorAxisLength,0.9999999999999996,1.0,0.9999999999999996,0.9999999999999997,0.9999999999999996,0.9999999999999997
Maximum,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0
Maximum2DDiameterColumn,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002
Maximum2DDiameterRow,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999989,1.0000000000000002,0.9999999999999989
Maximum2DDiameterSlice,1.0,0.9999999999999998,1.0,0.9999999999999996,1.0,0.9999999999999996
Maximum3DDiameter,0.9999999999999994,0.9999999999999998,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994
Mean,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0000000000000002
MeanAbsoluteDeviation,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0
Median,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002
MeshVolume,1.0,1.0,1.0,1.0,1.0,1.0
Minimum,1.0,,,,1.0000000000000007,1.0
MinorAxisLength,1.0,1.0,1.0,1.0,1.0,1.0
Range,1.0,1.0,1.0,1.0,1.0,1.0
RobustMeanAbsoluteDeviation,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0
RootMeanSquared,1.0000000000000004,1.0,1.0,1.0,1.0,1.0
RunLengthNonUniformity,0.9638448100134838,0.987770414618314,0.8939068144044789,0.8788933462372387,,
Skewness,1.0,1.0,1.0,1.0,1.0,1.0
Sphericity,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0
SurfaceArea,1.0,1.0,1.0,1.0,1.0,1.0
SurfaceVolumeRatio,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
TotalEnergy,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0
Variance,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0
VoxelVolume,1.0,1.0,1.0,1.0,1.0,1.0
DependenceNonUniformity,,0.8530772606055386,0.9018644215183076,0.9418309393863876,,
DependenceVariance,,0.9944915605640682,0.8528181195305397,0.8005432171861211,,
Entropy,,0.7985769836183749,,,,
LargeDependenceEmphasis,,0.9258353224518456,,,,
LongRunEmphasis,,0.9085688775127702,,,,
MaximumProbability,,0.9598521079213596,,,,
RunVariance,,0.9434334318936751,,,,
DependenceNonUniformityNormalized,,,0.8491435485696098,0.8679091659898566,,
RunLengthNonUniformityNormalized,,,0.8853063566292606,0.8994692675759905,,
RunPercentage,,,0.8534731915939264,0.8595655729226916,,
ShortRunEmphasis,,,0.8400044374966201,0.8664352258373319,,
SmallDependenceEmphasis,,,0.7883990964973525,0.8042191047945123,,
ZonePercentage,,,0.7558364505777718,0.7796403908108364,,
SmallDependenceLowGrayLevelEmphasis,,,,0.7578472401427692,0.757952868316408,0.9689028904154168
LongRunHighGrayLevelEmphasis,,,,,0.964191433166756,0.8068405561639642
RunEntropy,,,,,0.9382603205463449,0.8294747634149912
