,0
10Percentile,121.25466238063885
90Percentile,63.83101601809949
Autocorrelation,7.704556637918084
Busyness,39.83844604933672
ClusterProminence,17.871265440130774
ClusterShade,4324.196111247732
ClusterTendency,10.114730134259167
Coarseness,38.14340996094756
Complexity,16.716827545049735
Contrast,16.146105134899226
Contrast.1,19.910981459838162
Correlation,152.22788238429445
DependenceEntropy,7.05351286234933
DependenceNonUniformity,43.06672560813896
DependenceNonUniformityNormalized,28.456499365208643
DependenceVariance,111.04838116044567
DifferenceAverage,16.11441717581847
DifferenceEntropy,4.540135025793378
DifferenceVariance,6.3920125295238
Energy,135.27261237790185
Entropy,162.1081438508641
GrayLevelNonUniformity,39.06420607260451
GrayLevelNonUniformity.1,30.1590745174628
GrayLevelNonUniformity.2,34.62957273105543
GrayLevelNonUniformityNormalized,0.02038926481186454
GrayLevelNonUniformityNormalized.1,0.6462351233832844
GrayLevelVariance,1.023333910336452
GrayLevelVariance.1,4.26676612613065
GrayLevelVariance.2,1.9465820273506662
HighGrayLevelEmphasis,3.323572055417481
HighGrayLevelRunEmphasis,3.1453630906065313
HighGrayLevelZoneEmphasis,0.7443864287433484
Id,25.480055154465187
Idm,40.886580453276714
Idmn,2.1778035972921863
Idn,3.905233726305797
Imc1,218.5414083232368
Imc2,133.39209834849942
InterquartileRange,73.87581433412933
InverseVariance,38.061629622413655
JointAverage,2.4354866650111844
JointEnergy,24.630640403981236
JointEntropy,1.664808369535826
Kurtosis,141.215915040984
LargeAreaEmphasis,254.46138978824416
LargeAreaHighGrayLevelEmphasis,262.77144345985437
LargeAreaLowGrayLevelEmphasis,214.22147606782355
LargeDependenceEmphasis,75.7750455792254
LargeDependenceHighGrayLevelEmphasis,78.39591703584101
LargeDependenceLowGrayLevelEmphasis,43.98074419802547
LongRunEmphasis,10.404518911249706
LongRunHighGrayLevelEmphasis,13.255941245251643
LongRunLowGrayLevelEmphasis,5.663375754397647
LowGrayLevelEmphasis,5.870796238598765
LowGrayLevelRunEmphasis,4.781326442921757
LowGrayLevelZoneEmphasis,1.4245268217763372
MCC,136.32168157364848
Maximum,120.19872903295479
MaximumProbability,109.33247178318862
Mean,56.76406565659526
MeanAbsoluteDeviation,77.22373475343896
Median,54.269773950218614
Minimum,43.495687911920456
Range,119.36614771215018
RobustMeanAbsoluteDeviation,73.48977848035848
RootMeanSquared,75.40494474045313
RunEntropy,2.023964745877142
RunLengthNonUniformity,31.405267585991616
RunLengthNonUniformityNormalized,4.079509279525509
RunPercentage,2.7484234427173595
RunVariance,81.14882123858926
ShortRunEmphasis,1.6762406945890131
ShortRunHighGrayLevelEmphasis,1.99209707673398
ShortRunLowGrayLevelEmphasis,5.314065225524507
SizeZoneNonUniformity,44.90504531201031
SizeZoneNonUniformityNormalized,10.56084025780259
Skewness,71.12952123794516
SmallAreaEmphasis,5.3078532333706425
SmallAreaHighGrayLevelEmphasis,5.026708808099564
SmallAreaLowGrayLevelEmphasis,4.942519963334355
SmallDependenceEmphasis,22.43863008868991
SmallDependenceHighGrayLevelEmphasis,21.718208890635907
SmallDependenceLowGrayLevelEmphasis,22.2104534005374
Strength,36.456251892489945
SumAverage,2.43548666501134
SumEntropy,0.8852818374915854
SumSquares,4.320642045359877
TotalEnergy,135.3576438969211
Uniformity,34.6138259352312
Variance,152.56665596523519
ZoneEntropy,3.986328100383387
ZonePercentage,22.984959269930098
ZoneVariance,277.76652246322834
